Date,AAPL,GOOG,IBM,MSFT
2010-05-21,34.617142,234.499802,125.41999799999999,26.84
2010-05-24,35.251427,237.0383,124.449997,26.27
2010-05-25,35.031428999999996,236.993591,124.519997,26.07
2010-05-26,34.872856,236.198761,123.230003,25.01
2010-05-27,36.192856,243.645325,126.389999,26.0
2010-05-28,36.697144,241.24592599999997,125.260002,25.799999
2010-06-01,37.261429,239.626465,124.339996,25.889999
2010-06-02,37.707142,245.090927,127.410004,26.459999
2010-06-03,37.588570000000004,251.16639700000002,127.959999,26.860001
2010-06-04,36.565715999999995,247.748627,125.279999,25.790001
2010-06-07,35.848572,241.191284,124.129997,25.290001
2010-06-08,35.618572,240.823669,123.720001,25.110001
2010-06-09,34.742859,235.478439,123.900002,24.790001
2010-06-10,35.787144,241.931473,127.68,25.0
2010-06-11,36.215714,242.671661,128.449997,25.66
2010-06-14,36.325714000000005,240.03381299999998,128.5,25.5
2010-06-15,37.098572,247.38598599999997,129.78999299999998,26.58
2010-06-16,38.17857,249.015396,130.350006,26.32
2010-06-17,38.838570000000004,248.42424,130.979996,26.370001000000002
2010-06-18,39.152859,248.39939900000002,130.149994,26.440001000000002
2010-06-21,38.595715000000006,242.70146200000002,130.649994,25.950001
2010-06-22,39.121429,241.553925,129.300003,25.77
2010-06-23,38.709998999999996,239.46749900000003,130.110001,25.309998999999998
2010-06-24,38.42857,236.01495400000002,128.190002,25.0
2010-06-25,38.099998,234.812775,127.120003,24.530001000000002
2010-06-28,38.328571000000004,234.51470899999998,128.979996,24.309998999999998
2010-06-29,36.595715000000006,225.662277,125.089996,23.309998999999998
2010-06-30,35.932858,221.03736899999998,123.480003,23.01
2010-07-01,35.497143,218.32501200000002,122.57,23.16
2010-07-02,35.277142,216.86450200000002,121.860001,23.27
2010-07-06,35.518570000000004,216.62605299999998,123.459999,23.82
2010-07-07,36.952858,223.64540099999996,127.0,24.299999
2010-07-08,36.869999,226.80485499999998,127.970001,24.41
2010-07-09,37.088570000000004,232.23454300000003,127.959999,24.27
2010-07-12,36.755714000000005,236.377594,128.669998,24.83
2010-07-13,35.971428,243.019394,130.479996,25.129998999999998
2010-07-14,36.104286,244.08247400000002,130.720001,25.440001000000002
2010-07-15,35.921428999999996,245.41381800000002,130.720001,25.51
2010-07-16,35.700001,228.31999199999998,128.029999,24.889999
2010-07-19,35.082859,231.58377099999998,129.78999299999998,25.23
2010-07-20,35.984287,239.23898300000002,126.550003,25.48
2010-07-21,36.32,237.20719900000003,125.269997,25.120001000000002
2010-07-22,37.002857,240.83857700000002,127.470001,25.84
2010-07-23,37.134285,243.446609,128.380005,25.809998999999998
2010-07-26,37.040001000000004,242.905136,128.41000400000001,26.1
2010-07-27,37.725716,244.72331200000002,128.630005,26.16
2010-07-28,37.279999,240.610062,128.429993,25.950001
2010-07-29,36.872856,240.92799399999998,128.020004,26.030001000000002
2010-07-30,36.75,240.858444,128.399994,25.809998999999998
2010-08-02,37.407143,243.620483,130.759995,26.33
2010-08-03,37.418571,243.33235200000001,130.369995,26.16
2010-08-04,37.568573,251.52407799999997,131.270004,25.73
2010-08-05,37.385715000000005,252.408325,131.830002,25.370001000000002
2010-08-06,37.155716,248.49379,130.139999,25.549999
2010-08-09,37.392857,251.042206,132.0,25.610001
2010-08-10,37.058571,250.227509,131.83999599999999,25.07
2010-08-11,35.741428000000006,244.281189,129.830002,24.860001
2010-08-12,35.970001,244.41531400000002,128.300003,24.49
2010-08-13,35.585712,241.60360699999998,127.870003,24.4
2010-08-16,35.377144,241.226059,127.769997,24.5
2010-08-17,35.995715999999994,243.675125,128.449997,24.709999
2010-08-18,36.152859,239.517166,129.389999,24.82
2010-08-19,35.697144,232.472992,128.899994,24.440001000000002
2010-08-20,35.662857,229.517212,127.5,24.23
2010-08-23,35.114284999999995,230.535583,126.470001,24.280001000000002
2010-08-24,34.275715000000005,224.23655699999998,124.900002,24.040001
2010-08-25,34.698570000000004,225.841125,125.269997,24.1
2010-08-26,34.325714000000005,224.032883,122.779999,23.82
2010-08-27,34.517143,227.93252599999997,124.730003,23.93
2010-08-30,34.642857,224.882355,123.400002,23.639999
2010-08-31,34.728573,223.555984,123.129997,23.469998999999998
2010-09-01,35.761429,228.677673,125.769997,23.9
2010-09-02,36.024284,230.09346000000002,125.040001,23.940001000000002
2010-09-03,36.967144,233.630463,127.58000200000001,24.290001
2010-09-07,36.830002,230.69952400000003,125.949997,23.959999
2010-09-08,37.560001,233.769562,126.08000200000001,23.93
2010-09-09,37.581429,236.55146800000003,126.360001,24.01
2010-09-10,37.630001,236.53158599999998,127.989998,23.85
2010-09-13,38.148571000000004,239.57678199999998,129.610001,25.110001
2010-09-14,38.294284999999995,238.662735,128.850006,25.030001000000002
2010-09-15,38.602856,238.767044,129.429993,25.120001000000002
2010-09-16,39.509997999999996,238.975693,129.669998,25.33
2010-09-17,39.338570000000004,243.491318,130.190002,25.219998999999998
2010-09-20,40.46143,252.497742,131.78999299999998,25.43
2010-09-21,40.53857,255.07101400000002,131.979996,25.15
2010-09-22,41.107143,256.332794,132.570007,24.610001
2010-09-23,41.274284,255.080948,131.669998,24.43
2010-09-24,41.759997999999996,261.941315,134.110001,24.780001000000002
2010-09-27,41.594284,263.491241,134.649994,24.73
2010-09-28,40.98,261.881714,134.889999,24.68
2010-09-29,41.052856,262.14004500000004,135.479996,24.5
2010-09-30,40.535713,261.196167,134.139999,24.49
2010-10-01,40.360001000000004,261.111725,135.639999,24.379998999999998
2010-10-04,39.805714,259.487274,135.25,23.91
2010-10-05,41.277142,267.375977,137.66000400000001,24.35
2010-10-06,41.312859,265.448517,137.83999599999999,24.43
2010-10-07,41.317142,263.29254199999997,138.720001,24.530001000000002
2010-10-08,42.009997999999996,266.442047,138.850006,24.57
2010-10-11,42.194286,267.679016,139.66000400000001,24.59
2010-10-12,42.648571000000004,268.94577000000004,139.850006,24.83
2010-10-13,42.877144,269.894592,140.369995,25.34
2010-10-14,43.187141,268.71725499999997,141.5,25.23
2010-10-15,44.962856,298.781708,141.059998,25.540001
2010-10-18,45.42857,306.859192,142.830002,25.82
2010-10-19,44.212856,301.95111099999997,138.029999,25.1
2010-10-20,44.361427,302.025604,139.070007,25.309998999999998
2010-10-21,44.217144,304.01767,139.830002,25.42
2010-10-22,43.924285999999995,304.285919,139.669998,25.379998999999998
2010-10-25,44.119999,306.258087,139.83999599999999,25.190001000000002
2010-10-26,44.007141,307.3013,140.669998,25.9
2010-10-27,43.975716,306.243195,141.429993,26.049999
2010-10-28,43.605713,307.29135099999996,140.899994,26.280001000000002
2010-10-29,42.997143,304.867126,143.600006,26.67
2010-11-01,43.454285,305.512939,143.320007,26.950001
2010-11-02,44.194286,305.81100499999997,143.83999599999999,27.389999
2010-11-03,44.685715,308.086182,144.169998,27.030001000000002
2010-11-04,45.467144,310.117981,146.78999299999998,27.139999
2010-11-05,45.304287,310.520355,146.919998,26.85
2010-11-08,45.517143,311.359894,146.46000700000002,26.809998999999998
2010-11-09,45.154284999999994,310.39120499999996,146.139999,26.950001
2010-11-10,45.432858,309.42746,146.550003,26.940001000000002
2010-11-11,45.235714,306.600861,145.429993,26.68
2010-11-12,44.004284000000006,299.69577000000004,143.740005,26.27
2010-11-15,43.862858,295.811035,143.639999,26.200001
2010-11-16,43.084286,289.97399900000005,142.240005,25.809998999999998
2010-11-17,42.92857,289.88955699999997,141.949997,25.57
2010-11-18,44.061428,296.352509,144.360001,25.84
2010-11-19,43.818573,293.506012,145.050003,25.690001000000002
2010-11-22,44.765713,293.699768,145.389999,25.73
2010-11-23,44.104286,289.621307,143.179993,25.120001000000002
2010-11-24,44.971428,295.56265299999995,145.809998,25.370001000000002
2010-11-26,45.0,293.093719,143.899994,25.25
2010-11-29,45.267143,289.174194,142.889999,25.309998999999998
2010-11-30,44.450001,276.059509,141.46000700000002,25.26
2010-12-01,45.200001,280.35159300000004,144.41000400000001,26.040001
2010-12-02,45.450001,284.06243900000004,145.179993,26.889999
